"Path","SizeGB","FileCount","Purpose"
"C:\Users\nolan\chroma","NOT_FOUND","","chroma_db2"
"C:\Users\nolan\AppData\Local\open-webui\uploads","NOT_FOUND","","openwebui_uploads"
"C:\Users\nolan\.ollama","NOT_FOUND","",".ollama"
"C:\Users\nolan\.cache","1.4078","29068","General cache"
"C:\Users\nolan\.chroma","NOT_FOUND","","chroma_db"
"C:\Users\nolan\AppData\Roaming\open-webui","NOT_FOUND","","openwebui_data_roaming"
"C:\Users\nolan\.cache\huggingface","NOT_FOUND","","huggingface_cache"
"C:\Users\nolan\AppData\Local\qdrant","NOT_FOUND","","qdrant_storage"
"C:\Users\nolan\AppData\Local\open-webui","NOT_FOUND","","openwebui_data"
